"nummer";"stg";"aaspf_echt";"abschluss";"fachrich";"fachriche";"stgart";"name";"teilzeit";"rsem_vz";"rsem_tz";"rsem_dual";"wie";"pvers_vz";"pvers_tz";"pvers_dual";"ects_vz";"ects_tz";"ects_dual";"titelkz_m_vz";"titelkz_m_tz";"titelkz_m_dual";"titelkz_w_vz";"titelkz_w_tz";"titelkz_w_dual";"praxis_vz";"praxis_tz";"praxis_dual";"statdat";"zuordnung";"berufsbegleitend";"sem";"erst_sem";"hoeheres_sem";"start_1";"end_1";"start_h";"end_h";"vorpraxis";"akkreditiert_von";"akkreditiert_bis";"akkreditiert_agentur";"anz_sp_vz";"anz_sp_tz";"anz_sp_dual";"studienrichtung_vz";"studienrichtung_tz";"studienrichtung_dual";"schwerpunkt_vz";"schwerpunkt_tz";"schwerpunkt_dual";"po_url_vz";"po_url_tz";"po_url_dual"
"06";"AO";"B";"Bachelor";"Augenoptik/Optometrie";"Ophthalmic Optics and Optometry";"184";"Erststudium Bachelor an Fachhochschulen";"3";"7";"0";"7";"Vollzeit / Dual";"214B";"-";"214B";"210";"0";"210";"B.Sc.";"";"B.Sc.";"B.Sc.";"";"B.Sc.";"---~0~|---~0~|Praxissemester~6~";"";"---~0~|---~0~|Praxissemester~6~";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_AOB_214_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_AOB_214_SPO.pdf"
"01";"AR";"B";"Bachelor";"Architektur";"Architecture";"184";"Erststudium Bachelor an Fachhochschulen";"1";"6";"0";"6";"Vollzeit / Dual";"219B";"-";"219B";"180";"0";"180";"B.A.";"";"B.A.";"B.A.";"";"B.A.";"Vorpraxis~0~8|---~0~|---~0~";"";"Vorpraxis~0~8|---~0~|---~0~";"AD";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/01_ARB_219_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/01_ARB_219_SPO.pdf"
"01";"AR";"M";"Master";"Architektur";"Architecture";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"4";"0";"0";"Vollzeit";"219M";"-";"-";"120";"0";"0";"M.A.";"";"";"M.A.";"";"";"---~0~|---~0~|---~0~";"";"";"AD";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"1";"0";"0";"";"";"";"Vertiefung Bauen im Bestand;Vertiefung Gestaltung;Vertiefung Nachhaltige Gebäudeplanung;Vertiefung Städtebau";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/01_ARM_219_SPO.pdf";"";""
"09";"AU";"B";"Bachelor";"Wirtschaftsingenieurwesen Automobilindustrie";"Automotive Industry";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"218B";"-";"218B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~|Vorpraxis~0~10|Praxissemester~6~20";"";"---~0~|Vorpraxis~0~10|Praxissemester~6~20";"WW";"T";"N";"220";"Wahr";"Wahr";"01.12.2020";"15.01.2021";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/09_AUB_218_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/09_AUB_218_SPO.pdf"
"13";"AW";"";"";"Allgemeinwissenschaften (Fakultät 13)";"";"";"";"1";"0";"0";"0";"?";"-";"-";"-";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"";""
"02";"BI";"B";"Bachelor";"Bauingenieurwesen";"Civil Engineering";"184";"Erststudium Bachelor an Fachhochschulen";"3";"7";"0";"9";"Vollzeit / Dual";"219B";"-";"319B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"Vorpraxis~4~6|---~0~|Praxissemester~5~16";"";"---~0~|---~0~|Praxissemester~5~16";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"1";"0";"1";"";"";"";"Allgemeines Bauingenieurwesen ;Stahlbau und Fassade ";"";"Allgemeines Bauingenieurwesen ;Stahlbau und Fassade ";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/02_BIB_219B_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/02_BIB_319B_SPO.pdf"
"02";"BI";"M";"Master";"Allgemeiner Ingenieurbau";"General Civil Engineering";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"5";"0";"Vollzeit / Teilzeit";"";"212M";"-";"";"90";"0";"";"";"";"";"";"";"";"---~0~|---~0~|---~0~";"";"IW";"T";"N";"";"";"";"";"";"";"";"";"";"";"";"";"1";"0";"";"";"";"";"Ingenieurbau;Stahlbau und Gestaltungstechnik";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/02_BIM_212_SPO.pdf";""
"02";"BN";"M";"Master";"Bauingenieurwesen";"Civil Engineering";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"5";"0";"Vollzeit / Teilzeit";"219M";"319M";"-";"90";"90";"0";"";"";"";"";"";"";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"1";"1";"0";"Ingenieurbau ;Stahlbau Leichtbau Glasbau";"Ingenieurbau ;Stahlbau Leichtbau Glasbau";"";"Energie Wasser Umwelt;Konstruktiver Ingenieurbau ";"Energie Wasser Umwelt ;Konstruktiver Ingenieurbau ";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/02_BNM_219M_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/02_BNM_319M_SPO.pdf";""
"06";"BO";"B";"Bachelor";"Bioingenieurwesen";"Bioengineering";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"0";"Vollzeit";"216B";"-";"-";"210";"0";"0";"B.Eng.";"";"";"B.Eng.";"";"";"Vorpraxis~0~|---~0~|Praxissemester~5~";"";"";"BW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_BOB_216_SPO.pdf";"";""
"06";"BO";"M";"Master";"Biotechnologie/Bioingenieurwesen";"Biotechnology/Bioengineering";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"3";"0";"0";"Vollzeit";"112M";"-";"-";"0";"0";"0";"";"";"";"";"";"";"---~0~|---~0~|---~0~";"";"";"IW";"T";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_BOM_112_SPO.pdf";"";""
"10";"BS";"M";"Master";"Betriebliche Steuerlehre";"Taxation";"690";"Weiterbildungsstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"4";"0";"0";"Vollzeit";"220M";"-";"-";"120";"0";"0";"";"";"";"";"";"";"---~0~|---~0~|---~0~";"";"";"WW";"W";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"";""
"06";"BT";"Z";"";"Bahntechnik - Antrieb, Bremse, Fahrdynamik";"";"694";"Weiterbildungsstudium Abschlusszeugnis/Zertifikat";"2";"0";"2";"0";"Teilzeit";"-";"";"-";"0";"";"0";"";"";"";"";"";"";"";"";"";"IW";"";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"";"";""
"10";"BW";"B";"Bachelor";"Betriebswirtschaft";"Business Administration";"184";"Erststudium Bachelor an Fachhochschulen";"3";"7";"0";"7";"Vollzeit / Dual";"220B";"-";"220B";"210";"0";"210";"B.A.";"";"B.A.";"B.A.";"";"B.A.";"---~0~|---~0~|Praxissemester~4~18";"";"---~0~|---~0~|Praxissemester~4~18";"WW";"W";"N";"220";"Wahr";"Wahr";"01.12.2020";"15.01.2021";"15.11.2020";"15.01.2021";"";"";"";"";"2";"0";"2";"";"";"";"Agiles Projektmanagement;Bank-, Finanz- und Risikomanagement I;Bank-, Finanz- und Risikomanagement II;Controlling;Digital Business Transformation;Einkaufs- und Beschaffungsmanagement;Human Resource Management I;Human Resource Management II;International Management I;International Management II;Marketingmanagement I;Marketingmanagement II;Rechnungswesen;Servicemanagement;Steuern I;Steuern II;Supply Chain Innovation;Supply Chain Prozesse;Unternehmen und Recht;Versicherungsmanagement";"";"Agiles Projektmanagement;Bank-, Finanz- und Risikomanagement I;Bank-, Finanz- und Risikomanagement II;Controlling;Digital Business Transformation;Einkaufs- und Beschaffungsmanagement;Human Resource Management I;Human Resource Management II;International Management I;International Management II;Marketingmanagement I;Marketingmanagement II;Rechnungswesen;Servicemanagement;Steuern I;Steuern II;Supply Chain Innovation;Supply Chain Prozesse;Unternehmen und Recht;Versicherungsmanagement";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/10_BWB_220_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/10_BWB_220_SPO.pdf"
"10";"BW";"M";"Master";"Betriebswirtschaft";"Business Administration";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"3";"0";"3";"Vollzeit / Dual";"220M";"-";"220M";"90";"0";"90";"";"";"";"";"";"";"---~0~|---~0~|---~0~";"";"---~0~|---~0~|---~0~";"WW";"W";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"Applied Business Innovation;Digital Procurement and Supply Management;Digital Technology Management;Finance & Accounting;Human Resource Management;Marketing Management";"";"Applied Business Innovation;Digital Procurement and Supply Management;Digital Technology Management;Finance & Accounting;Human Resource Management;Marketing Management";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/10_BWM_220_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/10_BWM_220_SPO.pdf"
"99";"CE";"Z";"";"Courses in English";"Courses in English";"494";"Ergänzungs-, Erweiterungs- und Zusatzstudium Abschlusszeugnis/Zertifikat";"1";"0";"0";"0";"?";"-";"-";"-";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"";""
"06";"CH";"B";"Bachelor";"Chemische Technik";"Chemical Engineering";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"219B";"-";"219B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~|---~0~|Praxissemester~5~19";"";"---~0~|---~0~|Praxissemester~5~19";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_CHB_219_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_CHB_219_SPO.pdf"
"07";"DC";"B";"Bachelor";"Data Science & Scientific Computing";"Data Science & Scientific Computing";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"0";"Vollzeit";"220B";"-";"-";"210";"0";"0";"";"";"";"";"";"";"---~0~|---~0~|Praxissemester~4~";"";"";"IM";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/07_DCB_220_SPO.pdf";"";""
"05";"DP";"M";"Master";"Management Digitales Publizieren";"Management Digital Publishing";"690";"Weiterbildungsstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"2";"0";"5";"0";"Teilzeit";"-";"";"-";"0";"";"0";"";"";"";"";"";"";"";"";"";"IW";"T";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"";"";""
"05";"DR";"B";"Bachelor";"Druck- und Medientechnik";"Print and Media Technology";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"119B";"-";"119B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~|---~0~|Praxissemester~5~20";"";"---~0~|---~0~|Praxissemester~5~20";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/05_DRB_120_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/05_DRB_120_SPO.pdf"
"12";"DS";"B";"Bachelor";"Design";"Design";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"0";"Vollzeit";"117B";"-";"-";"210";"0";"0";"";"";"";"";"";"";"---~0~|---~0~|Praxissemester~5~18";"";"";"AD";"G";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"Foto Design;Industrie Design;Kommunikationsdesign";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/12_DSB_217_SPO.pdf";"";""
"12";"DS";"M";"Master";"Advanced Design";"Advanced Design";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"3";"0";"0";"Vollzeit";"112M";"-";"-";"90";"0";"0";"M.A.";"";"";"M.A.";"";"";"---~0~|---~0~|---~0~";"";"";"AD";"G";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/12_DSM_112_SPO.pdf";"";""
"09";"DT";"M";"Master";"Entrepreneurship and Digital Transformation";"Entrepreneurship and Digital Transformation";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"3";"0";"0";"Vollzeit";"219M";"-";"-";"90";"0";"0";"M.A.";"";"";"M.A.";"";"";"---~0~|---~0~|---~0~";"";"";"WW";"";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/09_DTM_219_SPO.pdf";"";""
"04";"EE";"M";"Master";"Electrical Engineering";"Electrical Engineering";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"3";"Vollzeit / Teilzeit / Dual";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IW";"T";"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04";"EI";"B";"Bachelor";"Elektrotechnik und Informationstechnik";"Electrical Engineering and Information Technology";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"216B";"-";"216B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~|---~0~|Praxissemester~5~";"";"---~0~|---~0~|Praxissemester~5~";"IW";"T";"N";"220";"Wahr";"Wahr";"01.12.2020";"15.01.2021";"15.11.2020";"15.01.2021";"";"";"";"";"4";"0";"4";"";"";"";"Allgemeine Elektrotechnik;Automatisierungstechnik;Kommunikationstechnik;Technische Informatik";"";"Allgemeine Elektrotechnik;Automatisierungstechnik;Kommunikationstechnik;Technische Informatik";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/04_EIB_216_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/04_EIB_216_SPO.pdf"
"04";"EL";"M";"Master";"Elektrotechnik";"Electrical Engineering";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"3";"Vollzeit / Teilzeit / Dual";"216M";"216M";"216M";"90";"90";"90";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"1";"1";"1";"";"";"";"Allgemeine Elektrotechnik;Automatisierungstechnik;Autonome Systeme;Elektromobilität;Kommunikationstechnik;Regenerative Energien/Energietechnik";"Allgemeine Elektrotechnik;Automatisierungstechnik;Autonome Systeme;Elektromobilität;Kommunikationstechnik;Regenerative Energien/Energietechnik";"Allgemeine Elektrotechnik;Automatisierungstechnik;Autonome Systeme;Elektromobilität;Kommunikationstechnik;Regenerative Energien/Energietechnik";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/04_ELM_216_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/04_ELM_216_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/04_ELM_216_SPO.pdf"
"04";"EM";"B";"Bachelor";"Elektrotechnik - Elektromobilität";"Electrical Engineering - Electromobility";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"216B";"-";"216B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~|---~0~|Praxissemester~5~";"";"---~0~|---~0~|Praxissemester~5~";"IW";"T";"N";"220";"Wahr";"Wahr";"01.12.2020";"15.01.2021";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/04_EMB_216_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/04_EMB_216_SPO.pdf"
